Title,Artist
Last Night,Morgan Wallen
Fast Car,Luke Combs
Vampire,Olivia Rodrigo
Calm Down,Rema & Selena Gomez
I Can See You (Taylor's Version) (From The Vault),Taylor Swift
Flowers,Miley Cyrus
Fukumean,Gunna
All My Life,Lil Durk Featuring J. Cole
Cruel Summer,Taylor Swift
Karma,Taylor Swift Featuring Ice Spice
Kill Bill,SZA
Snooze,SZA
Favorite Song,Toosii
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Mine (Taylor's Version),Taylor Swift
Back To December (Taylor's Version),Taylor Swift
Need A Favor,Jelly Roll
Sure Thing,Miguel
Enchanted (Taylor's Version),Taylor Swift
Anti-Hero,Taylor Swift
Something In The Orange,Zach Bryan
Sparks Fly (Taylor's Version),Taylor Swift
Ella Baila Sola,Eslabon Armado X Peso Pluma
Die For You,The Weeknd & Ariana Grande
You Proof,Morgan Wallen
Dear John (Taylor's Version),Taylor Swift
Cupid,Fifty Fifty
Better Than Revenge (Taylor's Version),Taylor Swift
Religiously,Bailey Zimmerman
Thinkin' Bout Me,Morgan Wallen
Castles Crumbling (Taylor's Version) (From The Vault),Taylor Swift Featuring Hayley Williams
Dance The Night,Dua Lipa
Speak Now (Taylor's Version),Taylor Swift
When Emma Falls In Love (Taylor's Version) (From The Vault),Taylor Swift
Electric Touch (Taylor's Version) (From The Vault),Taylor Swift Featuring Fall Out Boy
Eyes Closed,Ed Sheeran
La Bebe,Yng Lvcas x Peso Pluma
Next Thing You Know,Jordan Davis
Mean (Taylor's Version),Taylor Swift
Foolish One (Taylor's Version) (From The Vault),Taylor Swift
Memory Lane,Old Dominion
The Story Of Us (Taylor's Version),Taylor Swift
Search & Rescue,Drake
Un x100to,Grupo Frontera X Bad Bunny
Thought You Should Know,Morgan Wallen
Dancin' In The Country,Tyler Hubbard
I'm Good (Blue),David Guetta & Bebe Rexha
Timeless (Taylor's Version) (From The Vault),Taylor Swift
Barbie World,Nicki Minaj & Ice Spice With Aqua
Haunted (Taylor's Version),Taylor Swift
Where She Goes,Bad Bunny
Bury Me In Georgia,Kane Brown
Long Live (Taylor's Version),Taylor Swift
Put It On Da Floor Again,Latto Featuring Cardi B
Chemical,Post Malone
Love You Anyway,Luke Combs
Last Kiss (Taylor's Version),Taylor Swift
Never Grow Up (Taylor's Version),Taylor Swift
Sabor Fresa,Fuerza Regida
Flooded The Face,Lil Uzi Vert
Area Codes,Kaliii
Tulum,Peso Pluma & Grupo Frontera
Innocent (Taylor's Version),Taylor Swift
Princess Diana,Ice Spice & Nicki Minaj
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
Super Shy,NewJeans
What It Is (Block Boy),Doechii Featuring Kodak Black
TQM,Fuerza Regida
Ours (Taylor's Version),Taylor Swift
Peaches & Eggplants,Young Nudy Featuring 21 Savage
Stand By Me,Lil Durk Featuring Morgan Wallen
Your Heart Or Mine,Jon Pardi
Daylight,David Kushner
Superman (Taylor's Version),Taylor Swift
"You, Me, & Whiskey",Justin Moore & Priscilla Block
Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Oh U Went,Young Thug Featuring Drake
Mourning,Post Malone
Popular,"The Weeknd, Playboi Carti & Madonna"
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
Point Me 2,FendiDa Rappa With Cardi B
Watermelon Moonshine,Lainey Wilson
Bye,Peso Pluma
Luna,Peso Pluma & Junior H
Shake Sumn,DaBaby
Everything I Love,Morgan Wallen
TQG,Karol G x Shakira
Por Las Noches,Peso Pluma
LaLa,Myke Towers
Fragil,Yahritza y Su Esencia x Grupo Frontera
Lagunas,Peso Pluma & Jasiel Nunez
Rubicon,Peso Pluma
El Azul,Junior H x Peso Pluma
Cowgirls,Morgan Wallen Featuring ERNEST
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
See You Again,"Tyler, The Creator Featuring Kali Uchis"
Fight The Feeling,Rod Wave
Mojabi Ghost,Tainy & Bad Bunny
Waffle House,Jonas Brothers
